"date","dry-tara","%N corr.","quadrant (Q)","sample","Nitrogen_uptake_gperm2","Nitrogen_uptake_kgperha"
2022-12-13,1.61,3.252868343,1,1,0.523711803223,5.23711803223
2022-12-13,3.35,3.574129984,1,2,1.19733354464,11.9733354464
2022-12-13,5.62,2.089833928,1,3,1.174486667536,11.74486667536
2022-12-13,7.66,2.134931906,2,1,1.635357839996,16.35357839996
2022-12-13,3.76,3.484328207,2,2,1.310107405832,13.10107405832
2022-12-13,4.23,3.481079518,2,3,1.472496636114,14.72496636114
2022-12-13,6.25,2.89287298,3,1,1.8080456125,18.080456125
2022-12-13,2.46,3.796160155,3,2,0.93385539813,9.3385539813
2022-12-13,2.52,3.909841895,3,3,0.98528015754,9.8528015754
2022-12-13,5.62,3.653681209,4,1,2.053368839458,20.53368839458
2022-12-13,6.19,3.518879896,4,2,2.178186655624,21.78186655624
2022-12-13,2.95,3.239261927,4,3,0.955582268465,9.55582268465
2023-02-07,5.69,3.158735547,1,1,1.797320526243,17.97320526243
2023-02-07,5.92,3.644889995,1,2,2.15777487704,21.5777487704
2023-02-07,4.05,3.357174161,1,3,1.359655535205,13.59655535205
2023-02-07,0.58,4.059601459,2,1,0.235456884622,2.35456884622
2023-02-07,3.8,3.398989772,2,2,1.29161611336,12.9161611336
2023-02-07,7.61,3.181582093,2,3,2.421183972773,24.21183972773
2023-02-07,1.58,3.159698193,3,1,0.499232314494,4.99232314494
2023-02-07,4.08,3.000424633,3,2,1.224173250264,12.24173250264
2023-02-07,2.78,3.529546896,3,3,0.981214037088,9.81214037088
2023-02-07,3.32,3.154848989,4,1,1.047409864348,10.47409864348
2023-02-07,4.77,3.17949038,4,2,1.51661691126,15.1661691126
2023-02-07,3.66,3.210279761,4,3,1.174962392526,11.74962392526
2023-03-17,7.72,4.55173521,1,1,3.51393958212,35.1393958212
2023-03-17,6.1,4.350513398,1,2,2.65381317278,26.5381317278
2023-03-17,6,4.298286252,1,3,2.5789717512,25.789717512
2023-03-17,4.67,3.916281309,2,1,1.828903371303,18.28903371303
2023-03-17,7.75,3.269253496,2,2,2.5336714594,25.336714594
2023-03-17,10.04,3.741670166,2,3,3.756636846664,37.56636846664
2023-03-17,7.32,4.370934776,3,1,3.199524256032,31.99524256032
2023-03-17,6.36,4.030773885,3,2,2.56357219086,25.6357219086
2023-03-17,5.04,4.473582645,3,3,2.25468565308,22.5468565308
2023-03-17,4.55,4.199586524,4,1,1.91081186842,19.1081186842
2023-03-17,7.51,4.123949445,4,2,3.097086033195,30.97086033195
2023-03-17,5.68,3.510111452,4,3,1.993743304736,19.93743304736
2023-04-14,17.3,3.654461763,1,1,6.32221884999,63.2221884999
2023-04-14,21.57,3.291522469,1,2,7.099813965633,70.99813965633
2023-04-14,26.37,3.02653975,1,3,7.98098532075,79.8098532075
2023-04-14,26.35,2.820272817,2,1,7.431418872795,74.31418872795
2023-04-14,30.79,3.210769396,2,2,9.885958970284,98.85958970284
2023-04-14,20.21,2.982672982,2,3,6.027982096622,60.27982096622
2023-04-14,18.79,2.644833582,3,1,4.969642300578,49.69642300578
2023-04-14,6.22,3.799002199,3,2,2.362979367778,23.62979367778
2023-04-14,25.65,3.253841959,3,3,8.346104624835,83.46104624835
2023-04-14,14.33,3.496597797,4,1,5.010624643101,50.10624643101
2023-04-14,8.39,3.503456935,4,2,2.939400368465,29.39400368465
2023-04-14,13.81,3.18190512,4,3,4.39421097072,43.9421097072
2023-05-19,60.44,2.189097205,1,1,13.23090350702,132.3090350702
2023-05-19,110.13,1.792611264,1,2,19.742027850432,197.42027850432
2023-05-19,76.11,1.678500329,1,3,12.775066004019,127.75066004019
2023-05-19,96.16,1.436266132,2,1,13.811135125312,138.11135125312
2023-05-19,72.16,1.611762078,2,2,11.630475154848,116.30475154848
2023-05-19,72.04,1.576349965,2,3,11.35602514786,113.5602514786
2023-05-19,113.64,1.68975027,3,1,19.20232206828,192.0232206828
2023-05-19,70.59,1.489764523,3,2,10.516247767857,105.16247767857
2023-05-19,103.29,1.729381262,3,3,17.862779055198,178.62779055198
2023-05-19,73.13,1.557885161,4,1,11.392814182393,113.92814182393
2023-05-19,51.78,1.691776658,4,2,8.760019535124,87.60019535124
2023-05-19,52.38,1.556220341,4,3,8.151482146158,81.51482146158
2023-06-28,196.31,1.21106003,1,1,23.77431944893,237.7431944893
2023-06-28,139.15,1.156734989,1,2,16.095967371935,160.95967371935
2023-06-28,201.79,1.131153746,1,3,22.825551440534,228.25551440534
2023-06-28,160.84,1.170483683,2,1,18.826059557372,188.26059557372
2023-06-28,170.3,0.97964947,2,2,16.6834304741,166.834304741
2023-06-28,147.12,1.10376364,2,3,16.23857067168,162.3857067168
2023-06-28,120.82,1.015635506,3,1,12.270908183492,122.70908183492
2023-06-28,200.31,0.936044426,3,2,18.749905897206,187.49905897206
2023-06-28,169.04,1.046119743,3,3,17.683608135672,176.83608135672
2023-06-28,157.53,1.034900835,4,1,16.302792853755,163.02792853755
2023-06-28,184.38,0.992688763,4,2,18.303195412194,183.03195412194
2023-06-28,173.53,0.892345154,4,3,15.484865457362,154.84865457362
2023-07-11,129.95,1.456756655,1,1,18.930552731725,189.30552731725
2023-07-11,187.23,1.053153287,1,2,19.718188992501,197.18188992501
2023-07-11,130.45,0.915496461,1,3,11.942651333745,119.42651333745
2023-07-11,280.9,1.042266087,2,1,29.27725438383,292.7725438383
2023-07-11,124.84,1.123318217,2,2,14.023504621028,140.23504621028
2023-07-11,168.87,0.670056277,2,3,11.315240349699,113.15240349699
2023-07-11,132.71,1.093963672,3,1,14.517991891112,145.17991891112
2023-07-11,166.13,1.030426151,3,2,17.118469646563,171.18469646563
2023-07-11,175.64,1.108892719,3,3,19.476591716516,194.76591716516
2023-07-11,117.91,1.143659007,4,1,13.484883351537,134.84883351537
2023-07-11,150.23,1.026850866,4,2,15.426380559918,154.26380559918
2023-07-11,125.82,0.743911129,4,3,9.359889825078,93.59889825078
2023-09-05,13.74,NA,1,1,NA,NA
2023-09-05,12.92,NA,1,2,NA,NA
2023-09-05,8.21,NA,1,3,NA,NA
2023-09-05,10.61,NA,2,1,NA,NA
2023-09-05,6.43,NA,2,2,NA,NA
2023-09-05,4.17,NA,2,3,NA,NA
2023-09-05,7.92,NA,3,1,NA,NA
2023-09-05,5.41,NA,3,2,NA,NA
2023-09-05,11.11,NA,3,3,NA,NA
2023-09-05,9.14,NA,4,1,NA,NA
2023-09-05,10.3,NA,4,2,NA,NA
